token_address,decimals
0xe846c6fCf817734CA4527B28CCB4aEa2b6663c79,18
0xBD5ff51CfE96432A2FC41d9571946a1FA9fc875f,9
0x6160C79BAAa6b5F873edb59AA422343539bb8ed3,18
0x27e22Ef7263F067D2691f59185fF9c13aF70B08a,9
0x2E685fD48ecB0b4EE7aA3e4Ba0FBd31bE73A5283,18
0x8C128ad8acc57cFDEFA2A7664A722c5d3F4D63A1,9
0x63056649125Ba0Ad333Eb37B84cc4999042ae68A,18
0xd73B0BAfE6df4A9655a5Bc5f9410B1f3eEb4b094,18
0x51F5F42d518D411A1e7e5E1555A031394514d73B,18
0xc8D3DCb63C38607Cb0c9d3F55E8eccE628A01C36,18
0xcaf22666aD3EA35d49baF301a38EEe44EfBeB31d,18
0x0f8bF37e79930C100f3d93AC0Ee87f0d3e7a7FB0,18
0x56fA32F5B5889d5FAe0dB377947d10B8242055C0,18
0x9b80F41ccfef7A45E7C05a5317D49bcb60B9c450,18
0x9D077852cE4F9B703EBC7dCDDA130D39e26C666C,9
0xDf7B9ad6A9Db38C62E30bc343c2a0701B19f4626,18
0xe638cfD8b78c544DC676e804f7667C9E8CF6F5EB,18
0x7f71827BE420f0F2584C7771E4ab33A38E24023f,9
0x207221C79f803Ff6e73A5843915DAE6f4B886a38,9
0x0AD9b3fe2f327aEC0E2A39626dB9e5288D4d2926,18
0x19dfeE29d4379461a49eA7e0FEBaAC4d45f96D69,9
0x8353f7D7E5592A830A9659820d12EacbF603eeAe,9
0xa570B912BAf6107C481C39bA4C95F45f9EF6A677,9
0xAdF933314A6836f33589452ADeE1D927e7c9aead,9
0xaC1be98CEc72075Cb825E6df1C39c737bCD73199,18
0x26E385A8565c00809EB709150d91f4Bd2A8c7115,9
0x193F5A60433321345CFe17789D50352E0234E46E,9
0x9fa69536d1cda4A04cFB50688294de75B505a9aE,18
0x38D2bB7f02cf3f1bE7D6F0AA57857A24AFC341A5,18
0xA24029974be205b828a6e9Ea18d0b8756F10D965,18
0x50B6Cd4e0e2218E36059A5Af845Ab5eDC6D83dD0,9
0xd98BA946F0436Ce7587cbb49c5D71F7c8A79B87f,9
0x35d629f4193Fa3C198dFa8A3079aB486D0A90132,18
0x8800Bfd0dC3A3F7EE5B0f1133cd559945945c659,18
0x75B679bB4dDc8c77ffc5B33F1D139dC9d8f9f51f,18
0xE51A25BE9a2Ed83CBa869B52eFc7cbB82d9F63b7,18
0x7730937Eda2196A13c923364fD5b175AA5A06582,9
0xd0F1313AD2C21810374f4aeeB256AFCD03c428bD,18
0x43Ec0c615E5B09fd239182ff0B689E9DC7405ab9,18
0x931f48b20a359c1823F134f9BC6F5E39dd825e27,9
0xB228146ECC553EdC1a6F16b8C781D52707E4A717,18
0x111111111117dC0aa78b770fA6A738034120C302,18
0x888888888889C00c67689029D7856AAC1065eC11,18
0x36751CeEAf5614CEc3B0A839b9f966589D687F0a,18
0x1Fb7381fa3BC51a7f60321120538cc02E7F0fFd3,18
0x4297394c20800E8a38A619A243E9BbE7681Ff24E,18
0xeBd32c951353067cAD931991A2c8b805BBE87794,18
0x3fFaEc27B2d94FB5Fb41F5BF2eeA0f04AD6704E3,9
0x8e2B4badaC15a4ec8c56020f4Ce60faa7558c052,18
0x1F257251d481d8bbC7CFE808DB25cA60A4386b68,18
0x4246b20DC9aD4f5D43FDbBBCdA745F531FB57C4D,18
0x04f6dBC66374326f3cF40D9bE72E7274715e8086,18
0xaBd4dc8fDe9848CBc4Ff2c0Ee81d4A49F4803Da4,9
0xe00F1897E598F6cA533505c2d5A4b486556cF21e,18
0xA031F2e7cC859BEF39EED6eAcDAC8BFaD7c51351,9
0x96b21b6eC0e6d4524D7827b03B6D4425eE1ff886,9
0xd5C5d46089D4013897bb520da7803E1D23F5A88e,9
0xab15AC54592A44d5a4BB529c9041b1a6DfbADdD1,18
0x0AF55d5fF28A3269d69B98680Fd034f115dd53Ac,8
0x3213e02DDfdA95db6fc418bf127D9C70319431Ff,6
0x285E6252e2649a4DBf1244C504E0E86c92B745e7,6
0x6a77C87c130BAD5B814482403a0cCfDDcF62A707,6
0x21eC746117582fd28C0Fc2cEA1d237396b98ed43,6
0x87c82B6E9C3e2E678AfC4d1a10C30Fee72978390,6
0x1567ed2f33a3CE893De37513eE00E21faD706611,6
0x2d2bf9743D73e01C15FbfA9478b201C1291acC04,18
0x69966589392389b36CFf44c4f92Ffe4609817421,9
0x7cD9697d5390a0B04479deed5eC3735c8eEEc548,18
0xEe84b8BE22Ec5635EA6177A8172ed915728bA8f2,18
0xA610723aDA7889825bBB6e76dD9155b6Ee0b8905,18
0x17b97aFf78a114081FEecA25c769E576De070368,18
0x0079001A8b67EBA2321c642Ebf97727dB8Cd87e7,18
0x97DEb00762B4f6595493105b25C7b94E5f34517f,9
0x0B824bD371dD381F8385ED4cA335959f403018B8,18
0x80248446088b16B89c05FbF4bF752B3522e12c94,18
0x2EA0cf3EAd3E7B631F8BF549e549Ae6D33e5147B,18
0xf357A2B37579912A0A8040c05aD1842255257F02,9
0x8Cf04C7bA8021cCa40bd572F166bCB8ca1d9698c,18
0x82FAcADb99ff99fcf65FB00C88d19F2D41346176,9
0xEA5B5F81d8AD4e5FfA426CdCEAb4164Bb08dfD60,18
0x49c1B31A54a28eb68a4C7E5ED13Bb63d80dEc01a,18
0x880911F1308939A7771C4e0194B375caD2C62d4F,18
0xE0D3847d6Cf81192a144DB100a9e6B75d8cd0EAD,18
0x3e6eed7c0269cfa369eAe58E8d0E5A379FBE344B,9
0xa544103cAcdB805051388995c0aF541c0C259979,18
0x4952766621303c5DE5e28a375e977Cac53701B42,18
0x5989879aA5886f2c18Ee994b01fB01675d592B0d,9
0xE89f9D55FC5e070D0BeE03e2Da30553Be924D4ab,9
0x6CF00B36273534BcC11CC448C904A1c05BAbfc90,9
0x5FA2E937B20CDFa836b973B0B6D4DBf6B0fce6c4,18
0xA9aF51b573813790373724277710B62Ea911Bbd2,18
0xA6AE2d23C80bd635CC6a0a30daCe725faF878B63,9
0xDDc71F825D23dd42889b851356375928E41f010F,9
0xd56736e79093D31be093ba1B5a5FE32E054B9592,9
0x12BaFa32C73C6B7F0C00b36b3Ba6D9416b163c59,9
0x8F04dc5A1034Ea924f9aBf93a27C728023C27B96,18
0x1Ea87d02af28a5be4b2D05C5e6Ae3E943Fe12BEA,18
0x5CEcCfAff78ca2Cd2ab1190A488777CfcFf1ACc2,18
0xFCA5D1608e381bD56ce7E3EEd2ACDB67FE50c4Ab,18
0x3CacCD1890790a62652a51951c331a9C3FA1b232,9
0x441D3955EB3DCB04293805BCb10EE2C5048b4de4,18
0x9f693FeE86200eCB5BB217Ae3a3EE0CC325b2377,18
0x7660F8D028D7dabE20564A7E46c02b2DbD76232d,18
0x4123a133ae3c521FD134D7b13A2dEC35b56c2463,8
0xd765138b70e95bCb64C84560b60A2068054E6ED1,9
0x44876743b0f65edf6eCcD3C99F80a7D2F71dcAdc,18
0xa2443c079dB861E32ECe68806E889775Bb1832cA,9
0xFa898efdB91E35BD311c45b9B955F742b6719aa2,18
0x301C755bA0fcA00B1923768Fffb3Df7f4E63aF31,18
0x464fd10b1425218fB766623a3225A1a5AC42CFb8,18
0x15cb846c02c3b908E66D586Ac827A3E020e71137,9
0x464FdB8AFFC9bac185A7393fd4298137866DCFB8,18
0x9135ad77776671e6d3C2E7df1d1c675D10d9b89e,18
0x43661F4b1c67dd6c1e48C6Faf2887b22AeE3dDf5,18
0x33684041856AC92817Ce9b12f9238228Ba9d3CAA,18
0x434d5875534D19fC7105281Cf61dbfd1C93c8cb1,9
0xaCeE30231Ce3A0a0Db62B8473598B9B2fdDE0560,18
0xDb9b7ef3585BF5f5C1599438C66132f96E3527E1,18
0x5859f850D1BBf0910953d62E5aBE81db4b1bc5Fb,18
0x1A90bb2a0024B35B54c8B8c6B5313C32470c134b,9
0xe1490148f171ff5737F5E7550756FAeDD2136F98,18
0x6398c4f034972e503b3f25953e47b030EbA6ff77,18
0xb76B445C35AE99b6f11A256595076bfcBb474399,18
0x5adDC649a65440E6485e83b94E8162D4bF8A6993,18
0x49F0e23d6E121835a7544968AC99C85282dA9c8b,9
0x5Cf07De6c05ff74B96dAA93D83f75417ab755ad4,18
0x3D658390460295FB963f54dC0899cfb1c30776Df,8
0xf519774Bf52B2B55Dd7ceF3B289d9f91F0A143F7,18
0xb8c0b71e81301b19712806760283c24c9a776053,18
0x7Bb5373aaEbaEBf5069893CD375937D939D54784,18
0x29e89F222601Ce00A1B44c9e4339171f5E8a04Cc,9
0x36FD796f7AFD47de870e86A52B1a75B1557399f3,9
0x6fB1E018f107d3352506c23777e4cd62e063584a,18
0x68364806A00B3671f96Ec84432dBfDd5BF65dA36,9
0x00AbA6fE5557De1a1d565658cBDdddf7C710a1eb,18
0x3081dD18CD5e60388eda3B8Eb934528b4eddd88C,18
0x9802c615745EC442D7FBe7Ea1bB3f7aa730f6F2F,18
0x76CE0983E8f6250a1a959F13b0D84D6E5464a072,18
0x5B942Ad64BC8eFfE424A2aB874C2932620f176a7,18
0x5A622D32E308839970848135DE36E7Cb2DB8399f,18
0x46e9c92192D95C29801c4F7cD977a238225E0353,18
0x327a56cC12cBf3b80F8f3f171a4FDD9b871682fE,18
0xD502E18DF7954e1af5fCCC7778A49abF0290bc98,18
0xcD1f78Cb38631FAD9125C471dD9d4F364f9b62fE,18
0xD502F487e1841Fdc805130e13eae80c61186Bc98,18
0xFB8cbEB4E01285a72E111cdDD94dC9365086f741,9
0xCd1fAFf6e578Fa5cAC469d2418C95671bA1a62Fe,18
0xeFe2aFB5f2a9EA8Ec6D8a57FE88fEBCFE29db813,18
0x6327dB300FB24Ec1eFE88c895A7b9A9f631261cB,18
0xAe0F18Df69bC1bCcAaEDFF4715F6e1898c4a6951,18
0x6FB1a44901421777adD575E5e4C83672E564584a,18
0x34278F6f40079eae344cbaC61a764Bcf85AfC949,18
0x9b31bb425D8263fA1b8B9d090b83CF0C31665355,18
0xA1a88cea335EDAF30ce90F103f1434a773ea46BD,9
0x85Be06ABC7C70d91De3b2C268DEFD6374b97E417,9
